요일,시간대,강좌명,강좌담당교수,배정강의실,강의실명,수강인원
금,12:00,웹프로그래밍(2),안철훈,1216,크리에이티브실습실(1216),23
금,13:00,IoT시스템개발,정환익,1215,컴퓨터실습실(1215),12
금,13:00,MSQL활용(1),안철훈,1216,크리에이티브실습실(1216),37
금,13:00,앱프로그래밍(2),서공원,1203,ICC실습ZONE(1203),13
금,14:00,M화면구현(2),유선주,1203,ICC실습ZONE(1203),32
금,14:00,M인공지능실습,신효영,1215,컴퓨터실습실(1215),26
금,14:00,서버프로그램구현(2),안철훈,1216,크리에이티브실습실(1216),16
금,15:00,캡스톤디자인,정환익,1216,크리에이티브실습실(1216),40
금,15:00,데이터분석실습,조문석,1203,ICC실습ZONE(1203),14
금,16:00,MSQL활용(1),안철훈,1203,ICC실습ZONE(1203),37
금,16:00,M앱프로그래밍(1),배희호,1215,컴퓨터실습실(1215),28
금,16:00,딥러닝실습,정계동,1216,크리에이티브실습실(1216),13
금,17:00,캡스톤디자인심화실무,고철영,1203,ICC실습ZONE(1203),12
금,17:00,MSQL활용(1),안철훈,1216,크리에이티브실습실(1216),31
금,17:00,캡스톤디자인,정환익,1215,컴퓨터실습실(1215),36
